uid,last_7_days_online_num,city_level,is_bad
562950064121355,7.0,2,0
562950080005347,4.0,1,0
563204441243650,5.0,1,0
563227694268416,0.0,1,0
563230913662977,7.0,1,0
563315118186496,,3,0
563318706413568,7.0,1,0
563322822336513,3.0,1,0
563337347735553,0.0,1,1
563384111202304,1.0,1,0
563429311062018,4.0,3,0
563432390656000,6.0,1,0
563457614946305,4.0,1,0
563458471170049,7.0,1,0
563464418754562,5.0,1,0
563466224664576,7.0,1,0
563473589018624,7.0,1,1
563490181550080,7.0,2,0
563497035501568,7.0,2,0
563531390320640,0.0,2,0
563535222738944,4.0,1,0
563535495372800,4.0,1,0
563558578593792,7.0,1,0
563559035375616,0.0,1,0
563564035833857,0.0,1,0
563564121759745,3.0,2,0
563566632968194,5.0,2,0
563575831072768,7.0,1,0
563591151161344,0.0,2,0
563593410060288,7.0,1,0
563598858846210,0.0,2,0
563603757076480,7.0,1,0
563607909109761,1.0,1,0
563632229523457,7.0,2,0
563633670594560,4.0,2,0
563661242695680,0.0,1,0
563707362938881,2.0,2,0
563716588699649,7.0,1,0
563717149958146,7.0,1,1
563728465793024,,2,0
563729030778880,3.0,1,0
563745109319681,7.0,3,0
563745676533762,7.0,1,0
563751178076161,2.0,4,0
563762062434304,6.0,2,0
563764822024196,7.0,1,0
563764829224960,1.0,1,0
563770061754369,0.0,1,0
563779776159746,7.0,2,0
563798054473728,7.0,1,0
563798190198784,6.0,4,0
563810106482691,4.0,4,0
563813330190340,6.0,1,0
563815547215873,3.0,1,0
563815743160320,7.0,1,0
563831657598976,,5,0
563835806679041,6.0,4,0
563838099263489,5.0,3,0
563844182122496,7.0,1,0
563847160860675,1.0,2,0
563848381399041,2.0,1,0
563849992998913,5.0,5,0
563866182688768,,2,0
563870495215617,0.0,1,0
563870563893249,0.0,2,0
563905663930369,1.0,6,0
563916477169665,4.0,3,0
563923585798145,3.0,2,0
563937727946752,2.0,2,0
563939583270913,7.0,2,0
563945884815360,0.0,2,0
563951515078658,7.0,2,0
563966346330115,1.0,2,0
563974798712833,0.0,2,0
564005081391104,0.0,2,0
564008118263809,,2,0
564015268831233,7.0,1,0
564018128691203,1.0,1,0
564022608928769,7.0,1,0
564024187162626,7.0,1,0
564039184486400,0.0,4,0
564053520945155,0.0,3,0
564057538170881,6.0,6,1
564064497500164,0.0,6,0
564072461770752,0.0,2,0
564107566456832,0.0,2,0
564113210150913,7.0,2,1
564152405196800,5.0,4,0
564159757160450,0.0,3,0
564160768774145,0.0,3,0
564194361217025,5.0,1,0
564209018544128,2.0,4,0
564209657520128,1.0,2,0
564234430128134,6.0,3,0
564260474781698,0.0,2,0
564277428682752,6.0,2,0
564277548621824,1.0,2,0
564279743356928,0.0,2,0
564284682014721,7.0,4,0
564285419753473,7.0,3,0
